ability,item,moves
Drizzle,DampRock,Surf Roost Uturn KnockOff 
SwiftSwim,WhiteHerb,ShellSmash Liquidation StoneEdge IceSpinner 
RoughSkin,FocusSash,StealthRock Spikes Earthquake Outrage 
QuarkDrive,BoosterEnergy,HydroPump FreezeDry IceBeam Uturn 
SwordofRuin,HeavyDutyBoots,SwordsDance SacredSword IcicleCrash Crunch 
WindPower,HeavyDutyBoots,Hurricane Thunder WeatherBall Tailwind 
VoltAbsorb,Leftovers,PlasmaFists BulkUp KnockOff CloseCombat 
Berserk,LumBerry,NastyPlot FieryWrath Hurricane Agility 
ClearBody,LifeOrb,DragonDance DragonDarts PhantomForce SuckerPunch 
RoughSkin,LifeOrb,StealthRock FireBlast DracoMeteor Earthquake 
FlameBody,HeavyDutyBoots,QuiverDance Flamethrower Psychic Roost 
IronFist,ProtectivePads,DoubleIronBash Superpower ThunderPunch ThunderWave 
NaturalCure,HeavyDutyBoots,SoftBoiled HealBell ShadowBall SeismicToss 
Regenerator,BlackSludge,ToxicSpikes Toxic Recover Haze 
Imposter,ChoiceScarf,Transform None None None 
Sturdy,Leftovers,RapidSpin Recover TeraBlast BodyPress 
Pressure,RockyHelmet,IronDefense BodyPress Roost BraveBird 
Unaware,Leftovers,Spikes Recover Earthquake StealthRock 
ToxicDebris,FocusSash,MortalSpin StealthRock Memento Spikes 
Regenerator,ChoiceScarf,ShedTail KnockOff DragonTail IceSpinner 
SwordofRuin,HeavyDutyBoots,SwordsDance IcicleCrash ThroatChop SuckerPunch 
Sharpness,SitrusBerry,FilletAway PsychoCut AquaCutter TeraBlast 
Protosynthesis,BoosterEnergy,ShadowBall Moonblast MysticalFire CalmMind 
Protosynthesis,BoosterEnergy,Outrage Crunch DragonDance IronHead 
Fluffy,LifeOrb,LastRespects ShadowSneak BodyPress Substitute 
MagicBounce,FocusSash,Psychic DazzlingGleam TrickRoom HealingWish 
Disguise,MentalHerb,ShadowSneak PlayRough Curse TrickRoom 
Protosynthesis,MentalHerb,StealthRock PerishSong TrickRoom Wish 
QuarkDrive,BoosterEnergy,CloseCombat WildCharge Earthquake SwordsDance 
PunkRock,LifeOrb,Overdrive Boomburst VoltSwitch SludgeBomb 
Drought,HeatRock,LavaPlume StealthRock RapidSpin Yawn 
Chlorophyll,LifeOrb,Flamethrower SolarBeam Overheat GigaDrain 
Protosynthesis,Leftovers,Moonblast CalmMind ShadowBall MysticalFire 
Imposter,ChoiceScarf,Transform None None None 
Protosynthesis,LifeOrb,DragonDance TeraBlast DragonClaw Earthquake 
Protosynthesis,LifeOrb,Uturn FlareBlitz FirstImpression Earthquake 
SpeedBoost,Leftovers,Protect Substitute TeraBlast StoredPower 
Technician,WideLens,PopulationBomb Uturn Crunch ThunderWave 
Protosynthesis,BoosterEnergy,CalmMind Psyshock Moonblast Hex 
ZerotoHero,ChoiceScarf,FlipTurn JetPunch WaveCrash CloseCombat 
GoodasGold,LightClay,MakeItRain Reflect LightScreen ThunderWave 
QuarkDrive,HeavyDutyBoots,Venoshock MorningSun FieryDance ToxicSpikes 
Drought,HeatRock,RapidSpin LavaPlume BodyPress StealthRock 
Protosynthesis,ChoiceSpecs,Moonblast ShadowBall MysticalFire Thunderbolt 
Chlorophyll,LifeOrb,FireBlast Growth GigaDrain TeraBlast 
Protosynthesis,BoosterEnergy,RapidSpin Earthquake CloseCombat StoneEdge 
BeadsofRuin,HeavyDutyBoots,DarkPulse Flamethrower NastyPlot TeraBlast 
SwordofRuin,ChoiceBand,IcicleCrash SacredSword Crunch IceShard 
Unaware,HeavyDutyBoots,TorchSong SlackOff WillOWisp ShadowBall 
Pressure,RockyHelmet,BodyPress Roost Uturn Defog 
Defiant,ChoiceBand,IcePunch Uturn CloseCombat GunkShot 
Protean,ChoiceBand,KnockOff FlowerTrick Uturn SuckerPunch 
Regenerator,BlackSludge,Spore SludgeBomb ClearSmog GigaDrain 
Unaware,RockyHelmet,Recover StealthRock Earthquake Toxic 
MoldBreaker,Leftovers,GigatonHammer KnockOff Protect SwordsDance 
Regenerator,HeavyDutyBoots,Surf FutureSight SlackOff Protect 
Pressure,Leftovers,BodyPress Uturn Defog Roost 
Protosynthesis,HeavyDutyBoots,FirstImpression CloseCombat Uturn Earthquake 
QuarkDrive,BoosterEnergy,Agility FieryDance SludgeWave Discharge 
VesselofRuin,Leftovers,Earthquake StealthRock Ruination Whirlwind 
ElectricSurge,TerrainExtender,Spikes ToxicSpikes Memento ThunderWave 
QuarkDrive,BoosterEnergy,TeraBlast CloseCombat SwordsDance KnockOff 
QuarkDrive,Leftovers,Agility FieryDance SludgeWave Discharge 
QuarkDrive,AssaultVest,Earthquake RapidSpin VoltSwitch KnockOff 
Unaware,HeavyDutyBoots,TorchSong ShadowBall EarthPower SlackOff 
SwordofRuin,HeavyDutyBoots,SwordsDance IcicleCrash ThroatChop SuckerPunch 
Unaware,BlackSludge,Earthquake GunkShot ToxicSpikes Recover 
Technician,ChoiceBand,BulletSeed MachPunch RockTomb Spore 
Unaware,HeavyDutyBoots,TorchSong Hex WillOWisp SlackOff 
NaturalCure,Leftovers,DazzlingGleam ThunderWave HealBell SoftBoiled 
Pressure,Leftovers,BodyPress IronDefense Defog Roost 
StormDrain,Leftovers,HydroPump EarthPower Spikes Recover 
Prankster,LightClay,Reflect LightScreen Taunt PartingShot 
Regenerator,ChoiceScarf,ShedTail Taunt RapidSpin Uturn 
Protosynthesis,BoosterEnergy,CalmMind ShadowBall Moonblast MysticalFire 
Protosynthesis,BoosterEnergy,DragonDance Crunch Acrobatics Earthquake 
QuarkDrive,BoosterEnergy,Agility FreezeDry HydroPump TeraBlast 
SwordofRuin,BlackGlasses,SwordsDance SuckerPunch Crunch IcicleCrash 
Regenerator,RockyHelmet,Wish Protect Liquidation MirrorCoat 
MirrorArmor,Leftovers,Roost Uturn IronHead Defog 
Sturdy,HeavyDutyBoots,RapidSpin IceSpinner BodyPress Recover 
NaturalCure,HeavyDutyBoots,HealBell SoftBoiled SeismicToss ShadowBall 
Unaware,Leftovers,StealthRock Earthquake Recover Curse 
Pixilate,Leftovers,CalmMind Wish Protect HyperVoice 
Protosynthesis,BoosterEnergy,DragonDance ScaleShot IronHead Earthquake 
QuarkDrive,BoosterEnergy,StealthRock Earthquake KnockOff RapidSpin 
Regenerator,ColburBerry,ChillyReception ThunderWave FoulPlay SlackOff 
Protosynthesis,BoosterEnergy,ShadowBall Moonblast MysticalFire CalmMind 
SupremeOverlord,BlackGlasses,SwordsDance SuckerPunch KowtowCleave IronHead 
SlushRush,LifeOrb,IcicleCrash Superpower Earthquake TeraBlast 
SandStream,SmoothRock,ThunderWave StealthRock Crunch StoneEdge 
SandRush,SpellTag,BodyPress LastRespects TeraBlast Crunch 
WaterAbsorb,BlackSludge,Spikes Recover PoisonJab Earthquake 
Pressure,Leftovers,BodyPress Roost BraveBird Defog 
Protosynthesis,ChoiceSpecs,ShadowBall Moonblast MysticalFire Thunderbolt 
Technician,LifeOrb,MachPunch CloseCombat BulletSeed Spore 
Unaware,Leftovers,ToxicSpikes Recover Earthquake StealthRock 
QuarkDrive,Leftovers,BodyPress KnockOff IronDefense RapidSpin 
NaturalCure,UtilityUmbrella,IceBeam SoftBoiled HealBell SeismicToss 
Unaware,HeavyDutyBoots,WillOWisp TorchSong Hex SlackOff 
Regenerator,ColburBerry,IronDefense BodyPress SlackOff Surf 
InnerFocus,Leftovers,Wish FoulPlay Protect Yawn 
Drizzle,DampRock,KnockOff Hurricane Roost Uturn 
ElectricSurge,TerrainExtender,Discharge Surf Spikes ToxicSpikes 
SwiftSwim,LifeOrb,Liquidation CloseCombat PsychicFangs AquaJet 
QuarkDrive,Leftovers,DrainPunch SpiritBreak ThunderPunch Substitute 
