pkmn,ability,item,team,moves
Pelipper,Drizzle,DampRock,Drednaw Garchomp IronBundle ChienPao Kilowattrel ,Surf Roost Uturn KnockOff 
Drednaw,SwiftSwim,WhiteHerb,Pelipper Garchomp IronBundle ChienPao Kilowattrel ,ShellSmash Liquidation StoneEdge IceSpinner 
Garchomp,RoughSkin,FocusSash,Pelipper Drednaw IronBundle ChienPao Kilowattrel ,StealthRock Spikes Earthquake Outrage 
IronBundle,QuarkDrive,BoosterEnergy,Pelipper Drednaw Garchomp ChienPao Kilowattrel ,HydroPump FreezeDry IceBeam Uturn 
ChienPao,SwordofRuin,HeavyDutyBoots,Pelipper Drednaw Garchomp IronBundle Kilowattrel ,SwordsDance SacredSword IcicleCrash Crunch 
Kilowattrel,WindPower,HeavyDutyBoots,Pelipper Drednaw Garchomp IronBundle ChienPao ,Hurricane Thunder WeatherBall Tailwind 
Zeraora,VoltAbsorb,Leftovers,MoltresGalar Dragapult Garchomp Volcarona Melmetal ,PlasmaFists BulkUp KnockOff CloseCombat 
MoltresGalar,Berserk,LumBerry,Zeraora Dragapult Garchomp Volcarona Melmetal ,NastyPlot FieryWrath Hurricane Agility 
Dragapult,ClearBody,LifeOrb,Zeraora MoltresGalar Garchomp Volcarona Melmetal ,DragonDance DragonDarts PhantomForce SuckerPunch 
Garchomp,RoughSkin,LifeOrb,Zeraora MoltresGalar Dragapult Volcarona Melmetal ,StealthRock FireBlast DracoMeteor Earthquake 
Volcarona,FlameBody,HeavyDutyBoots,Zeraora MoltresGalar Dragapult Garchomp Melmetal ,QuiverDance Flamethrower Psychic Roost 
Melmetal,IronFist,ProtectivePads,Zeraora MoltresGalar Dragapult Garchomp Volcarona ,DoubleIronBash Superpower ThunderPunch ThunderWave 
Blissey,NaturalCure,HeavyDutyBoots,Toxapex Ditto Avalugg Corviknight Quagsire ,SoftBoiled HealBell ShadowBall SeismicToss 
Toxapex,Regenerator,BlackSludge,Blissey Ditto Avalugg Corviknight Quagsire ,ToxicSpikes Toxic Recover Haze 
Ditto,Imposter,ChoiceScarf,Blissey Toxapex Avalugg Corviknight Quagsire ,Transform None None None 
Avalugg,Sturdy,Leftovers,Blissey Toxapex Ditto Corviknight Quagsire ,RapidSpin Recover TeraBlast BodyPress 
Corviknight,Pressure,RockyHelmet,Blissey Toxapex Ditto Avalugg Quagsire ,IronDefense BodyPress Roost BraveBird 
Quagsire,Unaware,Leftovers,Blissey Toxapex Ditto Avalugg Corviknight ,Spikes Recover Earthquake StealthRock 
Glimmora,ToxicDebris,FocusSash,Cyclizar ChienPao Veluza FlutterMane RoaringMoon ,MortalSpin StealthRock Memento Spikes 
Cyclizar,Regenerator,ChoiceScarf,Glimmora ChienPao Veluza FlutterMane RoaringMoon ,ShedTail KnockOff DragonTail IceSpinner 
ChienPao,SwordofRuin,HeavyDutyBoots,Glimmora Cyclizar Veluza FlutterMane RoaringMoon ,SwordsDance IcicleCrash ThroatChop SuckerPunch 
Veluza,Sharpness,SitrusBerry,Glimmora Cyclizar ChienPao FlutterMane RoaringMoon ,FilletAway PsychoCut AquaCutter TeraBlast 
FlutterMane,Protosynthesis,BoosterEnergy,Glimmora Cyclizar ChienPao Veluza RoaringMoon ,ShadowBall Moonblast MysticalFire CalmMind 
RoaringMoon,Protosynthesis,BoosterEnergy,Glimmora Cyclizar ChienPao Veluza FlutterMane ,Outrage Crunch DragonDance IronHead 
Houndstone,Fluffy,LifeOrb,Hatterene Mimikyu ScreamTail IronHands ToxtricityLowKey ,LastRespects ShadowSneak BodyPress Substitute 
Hatterene,MagicBounce,FocusSash,Houndstone Mimikyu ScreamTail IronHands ToxtricityLowKey ,Psychic DazzlingGleam TrickRoom HealingWish 
Mimikyu,Disguise,MentalHerb,Houndstone Hatterene ScreamTail IronHands ToxtricityLowKey ,ShadowSneak PlayRough Curse TrickRoom 
ScreamTail,Protosynthesis,MentalHerb,Houndstone Hatterene Mimikyu IronHands ToxtricityLowKey ,StealthRock PerishSong TrickRoom Wish 
IronHands,QuarkDrive,BoosterEnergy,Houndstone Hatterene Mimikyu ScreamTail ToxtricityLowKey ,CloseCombat WildCharge Earthquake SwordsDance 
ToxtricityLowKey,PunkRock,LifeOrb,Houndstone Hatterene Mimikyu ScreamTail IronHands ,Overdrive Boomburst VoltSwitch SludgeBomb 
Torkoal,Drought,HeatRock,Scovillain FlutterMane Ditto RoaringMoon SlitherWing ,LavaPlume StealthRock RapidSpin Yawn 
Scovillain,Chlorophyll,LifeOrb,Torkoal FlutterMane Ditto RoaringMoon SlitherWing ,Flamethrower SolarBeam Overheat GigaDrain 
FlutterMane,Protosynthesis,Leftovers,Torkoal Scovillain Ditto RoaringMoon SlitherWing ,Moonblast CalmMind ShadowBall MysticalFire 
Ditto,Imposter,ChoiceScarf,Torkoal Scovillain FlutterMane RoaringMoon SlitherWing ,Transform None None None 
RoaringMoon,Protosynthesis,LifeOrb,Torkoal Scovillain FlutterMane Ditto SlitherWing ,DragonDance TeraBlast DragonClaw Earthquake 
SlitherWing,Protosynthesis,LifeOrb,Torkoal Scovillain FlutterMane Ditto RoaringMoon ,Uturn FlareBlitz FirstImpression Earthquake 
Espathra,SpeedBoost,Leftovers,MausholdFour FlutterMane PalafinHero Gholdengo IronMoth ,Protect Substitute TeraBlast StoredPower 
MausholdFour,Technician,WideLens,Espathra FlutterMane PalafinHero Gholdengo IronMoth ,PopulationBomb Uturn Crunch ThunderWave 
FlutterMane,Protosynthesis,BoosterEnergy,Espathra MausholdFour PalafinHero Gholdengo IronMoth ,CalmMind Psyshock Moonblast Hex 
PalafinHero,ZerotoHero,ChoiceScarf,Espathra MausholdFour FlutterMane Gholdengo IronMoth ,FlipTurn JetPunch WaveCrash CloseCombat 
Gholdengo,GoodasGold,LightClay,Espathra MausholdFour FlutterMane PalafinHero IronMoth ,MakeItRain Reflect LightScreen ThunderWave 
IronMoth,QuarkDrive,HeavyDutyBoots,Espathra MausholdFour FlutterMane PalafinHero Gholdengo ,Venoshock MorningSun FieryDance ToxicSpikes 
Torkoal,Drought,HeatRock,FlutterMane Scovillain GreatTusk ChiYu ChienPao ,RapidSpin LavaPlume BodyPress StealthRock 
FlutterMane,Protosynthesis,ChoiceSpecs,Torkoal Scovillain GreatTusk ChiYu ChienPao ,Moonblast ShadowBall MysticalFire Thunderbolt 
Scovillain,Chlorophyll,LifeOrb,Torkoal FlutterMane GreatTusk ChiYu ChienPao ,FireBlast Growth GigaDrain TeraBlast 
GreatTusk,Protosynthesis,BoosterEnergy,Torkoal FlutterMane Scovillain ChiYu ChienPao ,RapidSpin Earthquake CloseCombat StoneEdge 
ChiYu,BeadsofRuin,HeavyDutyBoots,Torkoal FlutterMane Scovillain GreatTusk ChienPao ,DarkPulse Flamethrower NastyPlot TeraBlast 
ChienPao,SwordofRuin,ChoiceBand,Torkoal FlutterMane Scovillain GreatTusk ChiYu ,IcicleCrash SacredSword Crunch IceShard 
Skeledirge,Unaware,HeavyDutyBoots,Corviknight Annihilape Meowscarada Amoonguss Clodsire ,TorchSong SlackOff WillOWisp ShadowBall 
Corviknight,Pressure,RockyHelmet,Skeledirge Annihilape Meowscarada Amoonguss Clodsire ,BodyPress Roost Uturn Defog 
Annihilape,Defiant,ChoiceBand,Skeledirge Corviknight Meowscarada Amoonguss Clodsire ,IcePunch Uturn CloseCombat GunkShot 
Meowscarada,Protean,ChoiceBand,Skeledirge Corviknight Annihilape Amoonguss Clodsire ,KnockOff FlowerTrick Uturn SuckerPunch 
Amoonguss,Regenerator,BlackSludge,Skeledirge Corviknight Annihilape Meowscarada Clodsire ,Spore SludgeBomb ClearSmog GigaDrain 
